species,scenario,year,phi_mean,phi_sd,gamma_mean,gamma_sd
LANO,full,2016,0.8042710005411695,0.04737878483695684,0.1418033735973952,0.12514029191517334
LANO,full,2017,0.9510633540306385,0.02362569244967268,0.7012105968336207,0.09290740912173481
LANO,full,2018,0.9117293492366773,0.024039448493722346,0.3431242194357398,0.12062035012956446
LANO,full,2019,0.9246852465716587,0.023243462070353393,0.5905050929145572,0.1006720352789791
LANO,full,2020,0.9288910861938593,0.024403634923061763,0.4284447070995207,0.11995418178220235
LANO,full,2021,0.9305183529965332,0.020659161527987635,0.6174106637482626,0.10287396425353441
LANO,full,2022,0.9219654426744485,0.022947185982559456,0.4562134447417121,0.12474926094212692
LANO,full,2023,0.9670676662403167,0.019755834806355795,0.6317779179373076,0.1077824764089661
LANO,rotation_2yr,2016,0.826298010613657,0.04522070874058699,0.15590385226713838,0.133423585118595
LANO,rotation_2yr,2017,0.9363255128536321,0.027479461077543947,0.6781958977717141,0.11077749100083081
LANO,rotation_2yr,2018,0.9143472319298005,0.02710571728941342,0.2944486912369226,0.13793135682608745
LANO,rotation_2yr,2019,0.9258115215597295,0.0255886691210127,0.5545238586421898,0.10764819222290839
LANO,rotation_2yr,2020,0.9481886502387266,0.024530330517728727,0.39749346251307005,0.12333016830291858
LANO,rotation_2yr,2021,0.9568647290382336,0.020235074894400646,0.4246949475220834,0.13705500560273745
LANO,rotation_2yr,2022,0.9346977493721066,0.023511214912058792,0.5049149571390803,0.15807648696999635
LANO,rotation_2yr,2023,0.9579971599020449,0.026487101643659187,0.6199183429426314,0.169236880739968
LANO,rotation_3yr,2016,0.8376319547773875,0.045141473344199594,0.16539614873649186,0.1404022331663042
LANO,rotation_3yr,2017,0.9440758873969192,0.025868787060081257,0.7582457982593755,0.11028464365397243
LANO,rotation_3yr,2018,0.9161549518778772,0.0268807694443945,0.33620643630745356,0.15966775974147362
LANO,rotation_3yr,2019,0.9303156037355441,0.0253157488825007,0.5826288820439909,0.1187864615385907
LANO,rotation_3yr,2020,0.9306543505700642,0.029082139733709458,0.41438317122973156,0.13773233097394974
LANO,rotation_3yr,2021,0.9517556690283656,0.022540778603406246,0.5181836469415659,0.1511890069546392
LANO,rotation_3yr,2022,0.9077567859503906,0.029975514289927074,0.4836294162552181,0.17766895171701358
LANO,rotation_3yr,2023,0.9584132337592325,0.028534598480926234,0.5947164562940337,0.1634613671513456
LANO,rotation_4yr,2016,0.836497657471765,0.0445171229140545,0.16912977939606513,0.1382500983115593
LANO,rotation_4yr,2017,0.9423062361734702,0.027435381273421343,0.7584640770014724,0.11299981783734181
LANO,rotation_4yr,2018,0.8910204373013131,0.0316250898360909,0.3032396326171149,0.15376598211641088
LANO,rotation_4yr,2019,0.9191862814358316,0.02748230273785638,0.5848407811984233,0.11992335022358919
LANO,rotation_4yr,2020,0.9497550741609252,0.025193579827805082,0.4994831879300198,0.14813822342057295
